Name,Status,Image
iPhone 13 Pro,yellow,https://images.macrumors.com/images-new/buyers-products/iphone_13_pro_buyers_343.png
iPhone 13,neutral,https://images.macrumors.com/images-new/buyers-products/iphone_13_buyers_360.png
iPhone SE,green,https://images.macrumors.com/images-new/buyers-products/iphone_se_2022_380.png
"12.9"" iPad Pro",yellow,https://images.macrumors.com/images-new/buyers-products/ipad_pro_12_350.png
"11"" iPad Pro",yellow,https://images.macrumors.com/images-new/buyers-products/ipad_pro_11_350.png
iPad Air,green,https://images.macrumors.com/images-new/buyers-products/ipad_air_2022_342.png
iPad Mini,neutral,https://images.macrumors.com/images-new/buyers-products/ipad_mini_buyers_250.png
iPad,neutral,https://images.macrumors.com/images-new/buyers-products/ipad_buyers_250.png
MacBook Air,red,https://images.macrumors.com/images-new/buyers-products/macbook_air_431.png
"13"" MacBook Pro",red,https://images.macrumors.com/images-new/buyers-products/macbook_pro_13_433.png
"14"" & 16"" MacBook Pro",neutral,https://images.macrumors.com/images-new/buyers-products/macbook_pro_16_552.png
iMac,red,https://images.macrumors.com/images-new/buyers-products/imac_350.png
Mac Mini,red,https://images.macrumors.com/images-new/buyers-products/mac_mini_320.png
Mac Studio,green,https://images.macrumors.com/images-new/buyers-products/mac_studio_342.png
Mac Pro,red,https://images.macrumors.com/images-new/buyers-products/mac_pro_2019_416.png
HomePod Mini,neutral,https://images.macrumors.com/images-new/buyers-products/homepod_mini_buyers_300.png
AirPods,green,https://images.macrumors.com/images-new/buyers-products/airpods_300.png
AirPods Pro,neutral,https://images.macrumors.com/images-new/buyers-products/airpodspro-480_trans.png
AirPods Max,neutral,https://images.macrumors.com/images-new/buyers-products/airpods_max_480.png
Apple Watch,neutral,https://images.macrumors.com/images-new/buyers-products/apple_watch_300.png
Apple Watch SE,neutral,https://images.macrumors.com/images-new/buyers-products/apple_watch_se_300.png
Apple TV,neutral,https://images.macrumors.com/images-new/buyers-products/atv-2015-2_trans.png
iPod Touch,red,https://images.macrumors.com/images-new/touch2015.png
